entry,name,size_bytes,custom_closure
0x08027550,FUN_08027550,8,yes
0x08027560,FUN_08027560,1480,
0x08027ba0,FUN_08027ba0,400,
0x08027d50,FUN_08027d50,830,
0x080280c0,FUN_080280c0,114,
0x08028140,FUN_08028140,272,
0x08028260,FUN_08028260,608,
0x080284e0,FUN_080284e0,866,
0x08028870,FUN_08028870,1380,
0x08028e90,FUN_08028e90,374,
0x08029080,FUN_08029080,6974,
0x080290c0,FUN_080290c0,546,
0x0802aef0,FUN_0802aef0,336,
0x0802b060,FUN_0802b060,94,
0x0802b0d0,FUN_0802b0d0,180,
0x0802b1a0,FUN_0802b1a0,800,
0x0802b570,FUN_0802b570,98,
0x0802b620,FUN_0802b620,30,
0x0802b650,FUN_0802b650,82,
0x0802b6c0,FUN_0802b6c0,706,
0x0802b9f0,FUN_0802b9f0,40,
0x0802ba20,FUN_0802ba20,58,
0x0802ba70,FUN_0802ba70,8,
0x0802ba80,FUN_0802ba80,38,
0x0802bac0,FUN_0802bac0,48,
0x0802bb00,FUN_0802bb00,14,
0x0802bb20,FUN_0802bb20,8,
0x0802bb30,FUN_0802bb30,8,
0x0802bb50,FUN_0802bb50,2160,
0x0802c3e0,FUN_0802c3e0,1994,
0x0802cbc0,FUN_0802cbc0,2250,
0x0802d4a0,FUN_0802d4a0,2208,
0x0802dd60,FUN_0802dd60,880,
0x0802e1e0,FUN_0802e1e0,782,
0x0802e5b0,FUN_0802e5b0,52,
0x0802e5f0,FUN_0802e5f0,6,
0x0802e600,FUN_0802e600,24,
0x0802e620,FUN_0802e620,36,
0x0802e650,FUN_0802e650,70,
0x0802e6a0,FUN_0802e6a0,112,
0x0802e720,FUN_0802e720,98,
0x0802e790,FUN_0802e790,120,
0x0802e810,FUN_0802e810,80,
0x0802e870,FUN_0802e870,42,
0x0802e8d0,FUN_0802e8d0,184,
0x0802e990,FUN_0802e990,126,
0x0802ea70,FUN_0802ea70,342,
0x0802ec10,FUN_0802ec10,160,
0x0802ecc0,FUN_0802ecc0,72,
0x0802f0d0,FUN_0802f0d0,8,
0x0802f0e0,FUN_0802f0e0,16,
0x0802f100,FUN_0802f100,80,
0x0802f160,FUN_0802f160,36,
0x0802f190,FUN_0802f190,80,
